ID,SourceText,TranslatedText
1,Advanced Game Settings,Pokročilé nastavení hry
2,,Rozšiřuje standardní herní režim Age of Empires 4 o nové možnosti a skutečně vám dává možnost přizpůsobit si nastavení zápasu (např. diplomace
3,,Pokročilé nastavení hry vám poskytuje řadu možností zápasů a výherních podmínek
4,,Podmínky pro výhru
5,,Zničení
6,,Zničte všechny nepřátele. Tato možnost je povinná
7,,Odstranění
8,,Přežíte déle než všichni vaši nepřátelé. Vypnutí této možnosti zabrání vyřešení zápasu
9,,Kapitulace
10,Do not surrender. Disabling this option will prevent match from being resolved if last opponent surrenders.,Nekapituluj. Vypnutí této možnosti zabrání vyřešení zápasu.
11,,Dobytí
12,,Dobýt všechny nepřátelské cíle
13,,Královražda
14,,Poraz všechny nepřátelské krále
15,,Náboženský
16,,Ovládejte všechna posvátná místa
17,,Div světa
18,,Postavte a braňte div
19,,Skóre
20,,Dosáhněte nejvyššího skóre před koncem časovače
21,,Podmínky hry
22,,Osidlí
23,,Prvotní osidlí
24,,Roztroušeně
25,,Kočovné
26,,Usazeno
27,,Období míru
28,,Počateční období míru
29,,Zakázáno
30,,5 minut
31,,10 minut
32,,15 minut
33,,20 minut
34,,25 minut
35,,30 minut
36,,35 minut
37,,40 minut
38,,45 minut
39,,50 minut
40,,55 minut
41,,60 minut
42,,65 minut
43,,70 minut
44,,75 minut
45,,80 minut
46,,85 minut
47,,90 minut
48,,95 minut
49,,100 minut
50,,105 minut
51,,110 minut
52,,115 minut
53,,120 minut
54,,Vítězství týmu
55,,Umožňuje týmům vyhrát hru
56,,Volná rvačka
57,,Počáteční týmy
58,,Dynamické týmy
59,,Týmová solidarita
60,,Pokud je některý člen týmu poražen
61,,Nastavení vyhry
62,,Dobytí hlavního města
63,,Dobytí vyžaduje zničení prvního centra města
64,,Dobytí památek
65,,Dobytí vyžaduje zničení všech památek
66,,Dobytí městských center
67,,Dobytí vyžaduje zničení všech dodatečných center měst
68,,Dobytí hradu
69,,Dobytí vyžaduje zničení všech pevností
70,,Dobytí divu světa
71,,Dobytí vyžaduje zničení zázraku k odstranění hráče
72,,Náboženský časovač
73,,Čas potřebný k udržení všech posvátných míst
74,,Okamžitý
75,,1 minuta
76,,2 minuty
77,,3 minuty
78,,4 minuty
79,,6 minut
80,,7 minut
81,,8 minut
82,,9 minut
83,,11 minut
84,,12 minut
85,,13 minut
86,,14 minut
87,,Náboženský časovač může pokračovat
88,,Časovač pokračuje od okamžiku
89,,Časovač divú světa 
90,,Čas potřebný k uspěšné obraně divú světa
91,,Div sveta poslední stání
92,,Zničení hotového zázraku odstraní majitele
93,,Cena divu sveta
94,,Škálujte náklady na zázrak na základě počtu hráčů. To definuje další množství všech zdrojů na hráče. Cena začíná na 3000 za každý zdroj.
95,,0 za hráče
96,,250 za hráče
97,,375 za hráče
98,,500 za hráče
99,,750 za hráče
100,,1000 za hráče
101,,1500 za hráče
102,,2000 za hráče
103,,Nastavení hry
104,,Tribut
105,,Hráči mohou posílat zdroje spojencům
106,,Diplomacie
107,,Hráči si mohou nastavit své vlastní aliance
108,,Týmové vidění
109,,Sdílené vidění mezi spojenci
110,,Žádne
111,,Vyžaduje trh
112,,Vždy
113,,Vidění mapy
114,,Počáteční vidění mapy
115,,Skryté
116,,Prozkoumáno
117,,Odhaleno
118,,Počáteční věk
119,,Počáteční věk pro všechny hráče
120,,Temný věk
121,,Feudální věk
122,,Hradní věk
123,,Imperiální věk
124,,Pozdní imperiální věk
125,,Končící věk
126,,Konečný věk pro všechny hráče
127,,Technologický věk
128,,Počáteční technologie prozkoumány pro všechny hráče
129,,Počáteční zdroje
130,,Počáteční zdroje pro všechny hráče
131,,Normální
132,,Vysoký
133,,Velmi vysoký
134,,Maximální
135,,Odhaleni po odstranění
136,,Umožnit odhaleni mapy po odstranění
137,,Nastavení soubouju
138,,Zobrazit skóre
139,,Skóre hráčů jsou viditelné
140,,Skóre Zobrazit umístění
141,,Zobrazit aktuální sólové místo v hodnocení režimu skóre. Skóre týmu se vyhodnocuje až na konci hry
142,,Časovač skóre
143,,Čas
144,,Minimální populační kapacita
145,,Mění počáteční kapacitu populace bez domů. Nepřekročí maximální kapacitu obyvatel.
146,,Maximální populační kapacita
147,,Mění maximální kapacitu populace. Vyžaduje domy
148,,0
149,,25
150,,50
151,,75
152,,100
153,,125
154,,150
155,,175
156,,200
157,,225
158,,250
159,,275
160,,300
161,,350
162,,400
163,,450
164,,500
165,,550
166,,600
167,,650
168,,700
169,,750
170,,800
171,,850
172,,900
173,,950
174,,1000
175,,10000
176,,Začínající vesničané
177,,Změní počáteční počet vesničanů pro každého hráče
178,,1
179,,2
180,,3
181,,4
182,,5
183,,6
184,,7
185,,8
186,,9
187,,10
188,,15
189,,20
190,,30
191,,35
192,,40
193,,45
194,,Počáteční hrad
195,,Každý hráč začíná s hradem blízko začátku
196,,Starší nastavení
197,,Počáteční král
198,,Každý hráč začíná z králem blízko začátku
199,,Zvonek
200,,Obsahuje velikonoční vajíčko
201,,Předčasný trh
202,,Umožňuje výstavbu trhu v době temna
203,,Bombardování stromů
204,,Umožňuje obléhacím zařízením a lodím s vlastností cíl zem ničit stromy
205,,Rychlost simulace
206,,Mění rychlost simulace hry. Tuto možnost nelze aktivovať ve hře pro více hráčů a bude zakázána.
207,,Herní hodnotity
208,,Vynásobí všechny následující rychlosti shromažďování
209,,1-krát
210,,2-krát
211,,3-krát
212,,4-krát
