ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
1,,,,Mod Title,,Advanced Game Settings
2,,,,Mod Page Description,,"Extends Age of Empires 4 standard game mode with new options and truly gives you an ability to customize match settings.\n\nContains additional win conditions. Different starts such as nomad. And even treaty & diplomacy...\n\nHelp, feedback, bug reports and contribution to mode can be done at: \nhttps://github.com/search?q=AOE4-AdvancedGameSettings\nCommunity Translations:\n - Chinese (Seicing, chifeiyen)\n - Russian (w3k5)"
3,,,,Mod Gamemode Description,,"Advanced Game Settings provides you with a variety of match options and win conditions to customize your game and play it how you want to.\n\nHelp, feedback, bug reports and contribution to mode can be done at:\nhttps://github.com/search?q=AOE4-AdvancedGameSettings"
4,,,,Option Header,,Win Conditions
5,,,,Annihilation Option,,Annihilation
6,,,,Annihilation Option,,"Destroy all enemies. This option is required, unless you wish for player to be never eliminated even if he loses everything."
7,,,,Elimination Option,,Elimination
8,,,,Elimination Option,,Prevail longer then all your enemies. Disabling this option will prevent match from being resolved if last opponent quits.
9,,,,Surrender Option,,Surrender
10,,,,Surrender Option,,Do not surrender. Disabling this option will prevent match from being resolved if last opponent surrenders.
11,,,,Conquest Option,,Conquest
12,,,,Conquest Option,,Conquer all enemy objectives
13,,,,Regicide Option,,Regicide
14,,,,Regicide Option,,Defeat all enemy Kings
15,,,,Religious Option,,Religious
16,,,,Religious Option,,Control all the Sacred Sites
17,,,,Wonder Option,,Wonder
18,,,,Wonder Option,,Build and defend the Wonder
19,,,,Score Option,,Score
20,,,,Score Option,,Achieve highest score before timer ends
21,,,,Option Header,,Game Conditions
22,,,,Settlement Option,,Settlement
23,,,,Settlement Option,,Initial settlement
24,,,,Settlement Option,,Scattered
25,,,,Settlement Option,,Nomadic
26,,,,Settlement Option,,Settled
27,,,,Treaty Option,,Treaty
28,,,,Treaty Option,,Period of peace
29,,,,Generic,,Disabled
30,,,,Generic,,5 minutes
31,,,,Generic,,10 minutes
32,,,,Generic,,15 minutes
33,,,,Generic,,20 minutes
