ID,SourceText,TranslatedText
1,Mod Title,Paramètres de Partie Avancés
2,"Extends Age of Empires 4 standard game mode with new options and truly gives you an ability to customize match settings.\n\nContains additional win conditions like score, classic king of the hill option, wonder rush and many more victory types. Provides new options such as different starts like nomad or fortified and many new options including treaty & diplomacy, age restrictions, handicap...\n\nHelp, feedback, bug reports and contribution to mode can be done at: \nhttps://github.com/search?q=AOE4-AdvancedGameSettings\nCommunity Translations:\n - Chinese\n - Czech\n -French\n","Étends le mode de jeu standard d'Age of Empires 4 avec de nouvelles options et vous donne vraiment la possibilité de personnaliser les paramètres. \n Contient des conditions de victoire supplémentaires comme le score, l'option classique du roi de la colline, la course aux merveilles et bien d'autres types de victoire. Fournit de nouvelles options telles que différents départs comme nomade ou fortifié et de nombreuses nouvelles options, y compris le traité et la diplomatie, les restrictions d'âge, le handicap...\n\nL'aide, les commentaires, les rapports de bogues et la contribution au mode peuvent être effectués à : \nhttps://github.com/search?q=AOE4-AdvancedGameSettings\nCommunity Traductions :\n - Chinese\n - Czech\n - Français\n"
3,,"Les paramètres de jeu avancés vous offrent une variété d'options de match et de conditions de victoire pour personnaliser votre jeu et y jouer comme vous le souhaitez.\n\nL'aide, les commentaires, les rapports de bugs et la contribution au mode peuvent être effectués sur:\nhttps://github.com/search?q=AOE4-AdvancedGameSettings"
4,,Conditions de victoire
5,,Annihilation
6,,"Détruisez tous les ennemis. Cette option est obligatoire, sauf si vous souhaitez que le joueur ne soit jamais éliminé même s'il perds tout."
7,,Élimination
8,,Prévalez plus longtemps que tous vos ennemis. La désactivation de cette option empêchera le match d'être résolu si le dernier adversaire abandonne.
9,,Capitulation
10,,Ne pas capituler. La désactivation de cette option empêchera le match d'être résolu si le dernier adversaire se rend.
11,,Conquête
12,,Conquérir tous les objectifs ennemis.
13,,Régicide
14,,Vaincre tous les rois ennemis.
15,,Religion
16,,Contrôler tout les sites sacrés.
17,,Merveille
18,,Construire et défendre la merveille.
19,,Score
20,,Atteindre le score le plus élevé avant la fin du chronomètre.
21,,Conditions de jeu
22,,Colonie
23,,Colonie initiale
24,,Dispersé
25,,Nomade
26,,Colonisé
27,,Traité
28,,Période de paix
29,,Désactivé
30,,5 minutes
31,,10 minutes
32,,15 minutes
33,,20 minutes
34,,25 minutes
35,,30 minutes
36,,35 minutes
37,,40 minutes
38,,45 minutes
39,,50 minutes
40,,55 minutes
41,,60 minutes
42,,65 minutes
43,,70 minutes
44,,75 minutes
45,,80 minutes
46,,85 minutes
47,,90 minutes
48,,95 minutes
49,,100 minutes
50,,105 minutes
51,,110 minutes
52,,115 minutes
53,,120 minutes
54,,Victoire par équipe
55,,Activer pour permettre aux équipes de gagner.
56,,Libre pour tous
57,,Équipes initiales
58,,Équipes dynamiques
59,,Solidarité d'équipe
60,,"Si un membre de l'équipe est vaincu, toute l'équipe perdra la partie. Une pour tous, tous pour un."
61,,Conditions de victoire
62,,Conquête des capitales
63,,La conquête nécessite la destruction du premier centre-ville pour éliminer le joueur.
64,,Conquête des points d'intérets
65,,La conquête nécessite la destruction des points d'intérets d'âge 4 pour éliminer le joueur.
66,,Conquête des centres-villes
67,,La conquête nécessite la destruction de tous les centres-villes supplémentaires pour éliminer le joueur.
68,,Conquête des forts
69,,La conquête nécessite la desctruction de tous les forts pour éliminer le joueur.
70,,Conquête des merveilles
71,,La conquête nécessite la destruction de la merveille du joueur pour l'éliminer.
72,,Minuterie religieuse
73,,Temps nécessaire pour tenir tous les sites sacrés.
74,,Instantané
75,,1 minute
76,,2 minutes
77,,3 minutes
78,,4 minutes
79,,6 minutes
80,,7 minutes
81,,8 minutes
82,,9 minutes
83,,11 minutes
84,,12 minutes
85,,13 minutes
86,,14 minutes
87,,Minuterie de reprise religieuse
88,,La minuterie continue à partir du moment où elle a été interrompe lors de la recapture.
89,,Minuterie de merveilles
90,,Temps requis pour défendre une merveille.
91,,Dernière merveille debout
92,,Détruire la merveille terminée éliminera le joueur.
93,,Échelle de côut des merveilles
94,,Échelle du coût de la merveille en fonction du nombre de joueurs. Cela définit la quantité additionnelle de ressources par joueurs. Le prix commence à 3000 de chaque ressource.
95,,0 par joueur
96,,250 par joueur
97,,375 par joueur
98,,500 par joueur
99,,750 par joueur
100,,1000 par joueur
101,,1500 par joueur
102,,2000 par joueur
103,,Réglages du jeu
104,,Hommages
105,,Les joueurs peuvent envoyer des ressources aux alliés.
106,,Diplomatie
107,,Les joueurs peuvent définir les propres alliances.
108,,Vision d'équipe
109,,Vision partagée entre les alliés.
110,,Aucune
111,,Nécessite un marché
112,,Toujours
113,,Vision de la carte
114,,Vision de la carte au démarrage.
115,,Dissimulée
116,,Explorée
117,,Révélée
118,,Âge de départ
119,,Âge initial pour tout les joueurs.
120,,Âge sombre
121,,Âge féodal
122,,Âge des chateaux
123,,Âge impérial
124,,Âge tardif impérial
125,,Âge final
126,,Âge final pour tous les joueurs.
127,,Âge technologique 
128,,Technologies initiales recherchées pour tous les joueurs.
129,,Ressources de départ
130,,Ressources de départ pour tous les joueurs.
131,,Normal
132,,Hautes
133,,Très hautes
134,,Maximales
135,,Révèle le brouillard à l'élimination
136,,Supprime le brouillard du joueur éliminé.
137,,Réglages de match
