ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
1,,,,Mod Title,,고급 게임 설정
2,,,,Mod Page Description,,"에이지 오브 엠파이어 4 표준 게임 모드를 확장하고 새로운 옵션으로 매치 설정을 자기 취향에 맞게 설정할 수 있는 기능을 제공합니다.\n\n점수, 고전 킹 오브 더 힐 옵션, 불가사의 러쉬, 그리고 더 많은 승리 유형들과 같이 추가적인 승리 조건이 포함되어 있습니다. 유목민이나 요새화와 같은 다양한 시작 조건과 조약 및 외교, 시대 제한, 핸디캡 등 다양한 새로운 옵션을 제공합니다.\n\n도움말, 피드백, 버그 제보 및 모드 기여: \nhttps://github.com/search?q=AOE4-AdvancedGameSettings\n커뮤니티 번역:\n - 중국어\n - 체코어\n - 불어\n - 한국어"
3,,,,Mod Gamemode Description,,"고급 게임 설정은 게임을 자기 취향에 맞게 설정하고 원하는 대로 플레이할 수 있는 다양한 매치 옵션과 승리 조건을 제공합니다.\n\n도움말, 피드백, 버그 제보 및 모드 기여:\nhttps://github.com/search?q=AOE4-AdvancedGameSettings"
4,,,,Option Header,,승리 조건
5,,,,Annihilation Option,,섬멸
6,,,,Annihilation Option,,"모든 적을 처치하십시오. 이 옵션을 비활성화하면 플레이어가 모든 것을 잃어도 절대 탈락되지 않습니다."
7,,,,Elimination Option,,제거
8,,,,Elimination Option,,모든 적보다 더 오랫동안 이겨내세요. 이 옵션을 비활성화하면 마지막 상대가 종료 시 매치가 완료되지 않습니다.
9,,,,Surrender Option,,항복
10,,,,Surrender Option,,항복하지 마세요. 이 옵션을 비활성화하면 마지막 상대가 항복할 시 매치가 완료되지 않습니다.
11,,,,Conquest Option,,정복
12,,,,Conquest Option,,모든 적의 목표물을 정복하세요.
13,,,,Regicide Option,,국왕 시해
14,,,,Regicide Option,,모든 적의 국왕을 제거하세요.
15,,,,Religious Option,,신성
16,,,,Religious Option,,성지를 모두 점령하세요.
17,,,,Wonder Option,,불가사의
18,,,,Wonder Option,,불가사의를 건설하고 방어하세요.
19,,,,Score Option,,점수
20,,,,Score Option,,타이머가 끝나기 전에 높은 점수를 달성하세요.
21,,,,Option Header,,게임 조건
22,,,,Settlement Option,,정착
23,,,,Settlement Option,,매치 시작 시 정착 여부
24,,,,Settlement Option,,산재
25,,,,Settlement Option,,유목
26,,,,Settlement Option,,정착
27,,,,Treaty Option,,조약
28,,,,Treaty Option,,평화 조약 기간
29,,,,Generic,,비활성화
30,,,,Generic,,5분
31,,,,Generic,,10분
32,,,,Generic,,15분
33,,,,Generic,,20분
