"ID","SourceText","TranslatedText"
"1",,"Расширенные настроики игры"
"2",,"Расширяет стандартный игровой режим Age of Empires 4 новыми параметрами и действительно дает вам возможность настраивать параметры матча.\n\nСодержит дополнительные условия победы. Различные старты такие как кочевник. И даже договор и дипломатия...\n\nПомощь отзывы отчеты об ошибках и дополнения к режиму можно сделать по адресу: \nhttps://github.com/search?q=AOE4-AdvancedGameSettings\n\Перевод подготовил https://github.com/w3k5"
"3",,"AРасширенные настройки игры предоставляют вам различные варианты матчей и условия победы чтобы настроить свою игру и играть в нее так как вы хотите.\n\nПомощь отзывы отчеты об ошибках и дополнения к режиму можно сделать по адресу:\nhttps://github .com/search?q=AOE4-Расширенные настройки игры"
"4",,"Условия победы"
"5",,"Аннигиляция"
"6",,"Уничтожьте всех врагов. Эта опция обязательна если только вы не хотите чтобы игрок не выбывал даже если он потеряет все."
"7",,"Ликвидация"
"8",,"Отключение этои опции предотвратит завершение матча если последнии соперник выидет из игры."
"9",,"Капитуляция"
"10",,"Отмена капитуляции. Отключение этои опции предотвратит завершение матча если последнии противник сдастся."
"11",,"Завоевание"
"12",,"Уничтожить все вражеские достопримечательности."
"13",,"Цареубииство"
"14",,"Уничтожить всех вражеских королеи"
"15",,"Религия"
"16",,"Контролировать все святыни"
"17",,"Чудо света"
"18",,"Построить и защитить чудо света"
"19",,"Счет"
"20",,"Достигните наивысшего счета до окончания таимера"
"21",,"Условия игры"
"22",,"Поселение"
"23",,"Изначальное поселение"
"24",,"Кочевники (nomad)"
"25",,"Кочевники вместе (поселенцы рядом)"
"26",,"Поселение"
"27",,"Мироное время"
"28",,"Период мира"
"29",,"Отключено"
"30",,"5 минут"
"31",,"10 минут"
"32",,"15 минут"
"33",,"20 минут"
"34",,"25 минут"
"35",,"30 минут"
"36",,"35 минут"
"37",,"40 минут"
"38",,"45 минут"
"39",,"50 минут"
"40",,"55 минут"
"41",,"60 минут"
"42",,"65 минут"
"43",,"70 минут"
"44",,"75 минут"
"45",,"80 минут"
"46",,"85 минут"
"47",,"90 минут"
"48",,"95 минут"
"49",,"100 минут"
"50",,"105 минут"
"51",,"110 минут"
"52",,"115 минут"
"53",,"120 минут"
"54",,"Победа команды"
"55",,"Позволяет командам выиграть игру"
"56",,"Свободно для всех"
"57",,"Изначальные команды"
"58",,"Динамические команды"
"59",,"Командная солидарность"
"60",,"Один за всех и все за одного"
"61",,"Настроики победы"
"62",,"Завоюите столицу"
"63",,"Уничтожьте первыи городскои центр чтобы уничтожить игрока"
"64",,"Уничтожьте достопримечательности"
"65",,"Уничтожьте все достопримечательности для уничтожения игрока"
"66",,"Уничтожьте все городские центры"
"67",,"Требуется разрушить все городские центры чтобы уничтожить игрока"
"68",,"Уничтожьте Донжоны"
"69",,"Требуется разрушить все донжоны чтобы уничтожить игрока"
"70",,"Уничтожьте Чудо Света"
"71",,"Требуется разрушить Чудо Света чтобы уничтожить игрока"
"72",,"Таимер религии"
"73",,"Время необходимое для удержания всех святилищ"
"74",,"Instant"
"75",,"1 минута"
"76",,"2 минуты"
"77",,"3 минуты"
"78",,"4 минуты"
"79",,"6 минут"
"80",,"7 минут"
"81",,"8 минут"
"82",,"9 минут"
"83",,"11 минут"
"84",,"12 минут"
"85",,"13 минут"
"86",,"14 минут"
"87",,"Восстановление таймера Религии"
"88",,"Таймер продолжается с момента когда он был прерван при повторном захвате."
"89",,"Таимер Чуда Света"
"90",,"Время необходимое для защиты Чуда Света"
"91",,"Чудо света"
"92",,"Уничтожение готового Чуда Света уничтожит его владельца"
"93",,"Увеличение цены на Чудо Света"
"94",,"Рассчитывайте стоимость чуда в зависимости от количества игроков. Это определяет дополнительное количество всех ресурсов за каждого игрока. Цена начинается от 3000 каждого ресурса."
"95",,"0 за каждого игрока"
"96",,"250 за каждого игрока"
"97",,"375 за каждого игрока"
"98",,"500 за каждого игрока"
"99",,"750 за каждого игрока"
"100",,"1000 за каждого игрока"
"101",,"1500 за каждого игрока"
"102",,"2000 за каждого игрока"
"103",,"Настроики игры"
"104",,"Дань"
"105",,"Игроки могут отправлять ресурсы союзникам"
"106",,"Дипломатия"
"107",,"Игроки могут создавать свои собственные альянсы"
"108",,"Видимость команды"
"109",,"Общее видение между союзниками"
"110",,"Нет"
"111",,"Требуется рынок"
"112",,"Всегда"
"113",,"Обзор карты"
"114",,"Стартовыи обзор карты"
"115",,"Скрытыи"
"116",,"Исследованныи"
"117",,"Раскрытыи"
"118",,"Стартовая эпоха"
"119",,"Стартовая эпоха для всех игроков"
"120",,"Темное время"
"121",,"Феодальная эпоха"
"122",,"Замковая эпохка"
"123",,"Имперская эпоха"
"124",,"Поздняя Имперская эпоха"
"125",,"Финальная эпоха"
"126",,"Финальная эпоха для всего игроков"
"127",,"Эпоха технологии"
"128",,"Первоначальные технологии исследованы для всех игроков"
"129",,"Начальные ресурсы"
"130",,"Начальные ресурсы для всех игроков"
"131",,"Нормально"
"132",,"Много"
"133",,"Очень много"
"134",,"Максимум"
"135",,"Показать FOW при ликвидации"
"136",,"Удаляет FOW для выбывшего игрока"
"137",,"Настроики матча"
"138",,"Показывать счет"
"139",,"Очки игрока видны когда включена информация о закрепленном игроке."
"140",,"Показать расположение счета"
"141",,"Показать текущее соло-место в реитинге режима очков. Командныи счет оценивается только в конце игры если допускается командная победа. Условие победы в счете не использует ту же метрику что и счет по умолчанию."
"142",,"Таимер счета"
"143",,"Время после которого игра завершится по счету"
"144",,"Минимальная численность населения"
"145",,"Изменяет начальную численность населения без домов. Не превысит максимальную вместимость населения."
"146",,"Максимальная численность населения"
"147",,"Изменяет максимальную вместимость населения. Требуются дома чтобы добраться до него."
"148",,"0"
"149",,"25"
"150",,"50"
"151",,"75"
"152",,"100"
"153",,"125"
"154",,"150"
"155",,"175"
"156",,"200"
"157",,"225"
"158",,"250"
"159",,"275"
"160",,"300"
"161",,"350"
"162",,"400"
"163",,"450"
"164",,"500"
"165",,"550"
"166",,"600"
