ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
1,,,,Mod Title,,进阶游戏设定
2,,,,Mod Page Description,,"Extends Age of Empires 4 standard game mode with new options and truly gives you an ability to customize match settings.\n\nContains additional win conditions. Different starts such as nomad. And even treaty & diplomacy...\n\nHelp, feedback, bug reports and contribution to mode can be done at: \nhttps://github.com/search?q=AOE4-AdvancedGameSettings\nCommunity Translations:\n - Chinese\n - Russian"
3,,,,Mod Gamemode Description,,"Advanced Game Settings provides you with a variety of match options and win conditions to customize your game and play it how you want to.\n\nHelp, feedback, bug reports and contribution to mode can be done at:\nhttps://github.com/search?q=AOE4-AdvancedGameSettings"
4,,,,Option Header,,获胜条件
5,,,,Annihilation Option,,歼灭
6,,,,Annihilation Option,,消灭所有敌人，此选项为必选项，否则玩家即使失去一切也不会失败
7,,,,Elimination Option,,淘汰
8,,,,Elimination Option,,比所有敌人更胜一筹，禁用此选项后，如果最后一个对手退出游戏，游戏将不会结束
9,,,,Surrender Option,,投降
10,,,,Surrender Option,,不投降战斗到最后一刻，禁用此选项后，如果最后一个对手投降，游戏将不会结束
11,,,,Conquest Option,,征服
12,,,,Conquest Option,,征服所有敌方目标
13,,,,Regicide Option,,弑君
14,,,,Regicide Option,,击杀所有敌方国王
15,,,,Religious Option,,神圣
16,,,,Religious Option,,控制所有圣地
17,,,,Wonder Option,,奇观
18,,,,Wonder Option,,建造并保护奇观
19,,,,Score Option,,得分
20,,,,Score Option,,在计时器结束前达到最高分
21,,,,Option Header,,游戏条件
22,,,,Settlement Option,,定居状态
23,,,,Settlement Option,,起始定居状态
24,,,,Settlement Option,,分散
25,,,,Settlement Option,,游牧
26,,,,Settlement Option,,定居
27,,,,Treaty Option,,条约
28,,,,Treaty Option,,和平时期
29,,,,Generic,,禁用
30,,,,Generic,,5 分钟
31,,,,Generic,,10 分钟
32,,,,Generic,,15 分钟
33,,,,Generic,,20 分钟
34,,,,Generic,,25 分钟
35,,,,Generic,,30 分钟
36,,,,Generic,,35 分钟
37,,,,Generic,,40 分钟
38,,,,Generic,,45 分钟
39,,,,Generic,,50 分钟
40,,,,Generic,,55 分钟
41,,,,Generic,,60 分钟
42,,,,Generic,,65 分钟
43,,,,Generic,,70 分钟
44,,,,Generic,,75 分钟
45,,,,Generic,,80 分钟
46,,,,Generic,,85 分钟
47,,,,Generic,,90 分钟
48,,,,Generic,,95 分钟
49,,,,Generic,,100 分钟
50,,,,Generic,,105 分钟
51,,,,Generic,,110 分钟
52,,,,Generic,,115 分钟
53,,,,Generic,,120 分钟
54,,,,Team Victory Option,,团队胜利
55,,,,Team Victory Option,,使整个团队能够赢得比赛
56,,,,Team Victory Option,,自由对战
57,,,,Team Victory Option,,起始团队
58,,,,Team Victory Option,,动态团队
59,,,,Team Solidarity Option,,团结一致
60,,,,Team Solidarity Option,,"一荣俱荣,一损俱损"
61,,,,Option Header,,获胜设置
62,,,,Conquest Option,,征服首都
63,,,,Conquest Option,,摧毁首座城镇中心来击败对手达成征服
64,,,,Conquest Option,,征服地标
65,,,,Conquest Option,,摧毁所有地标建筑来击败对手达成征服
66,,,,Conquest Option,,征服城镇中心
67,,,,Conquest Option,,摧毁所有额外城镇中心来击败对手达成征服
68,,,,Conquest Option,,征服大型箭塔
69,,,,Conquest Option,,摧毁所有大型箭塔来击败对手达成征服
70,,,,Conquest Option,,征服世界奇观
71,,,,Conquest Option,,摧毁所有世界奇观来击败对手达成征服
72,,,,Religious Option,,神圣胜利计时器
73,,,,Religious Option,,维持所有圣地获得胜利所需时间
74,,,,Generic,,立即
75,,,,Generic,,1 分钟
76,,,,Generic,,2 分钟
77,,,,Generic,,3 分钟
78,,,,Generic,,4 分钟
79,,,,Generic,,6 分钟
80,,,,Generic,,7 分钟
81,,,,Generic,,8 分钟
82,,,,Generic,,9 分钟
83,,,,Generic,,11 分钟
84,,,,Generic,,12 分钟
85,,,,Generic,,13 分钟
86,,,,Generic,,14 分钟
87,,,,Religious Option,,圣地恢复计时器
88,,,,Religious Option,,计时器从重新占领时中断的时刻起继续倒计时
89,,,,Wonder Option,,奇观胜利计时器
90,,,,Wonder Option,,守卫奇观获得胜利所需时间
