ID,SourceText,TranslatedText
1,,進階遊戲設定
2,,通過更多選項擴展《世紀帝國 4》的遊戲模式，真正讓您能夠自訂比賽設置。\n\n額外獲勝條件和不同開局，例如遊牧、條約和外交...\n\n説明、回饋、錯誤報告和對模式的貢獻可前往：\nhttps://github.com/search?q=AOE4-AdvancedGameSettings
3,,進階遊戲設定能提供多種比賽選項和獲勝條件，以自訂您的遊戲並如您所願進行。\n\n原始程式碼、回饋、錯誤報告和對模式的貢獻可前往：\nhttps://github.com/Woprok/AOE4-AdvancedGameSettings
4,,獲勝條件
5,,殲滅
6,,消滅所有敵人，此選項為必選項，否則玩家即使失去一切也不會失敗
7,,淘汰
8,,戰勝所有敵人，禁用此選項後，如果最後一個對手退出遊戲，遊戲將不會結束
9,,投降
10,,不投降戰鬥到最後一刻，禁用此選項後，如果最後一個對手投降，遊戲將不會結束
11,,征服
12,,征服所有敵方目標
13,,弑君
14,,擊殺所有敵方國王
15,,聖地
16,,控制所有聖地
17,,奇觀
18,,建造並保護奇觀
19,,得分
20,,在計時器結束前達到最高分
21,,遊戲條件
22,,定居狀態
23,,起始定居狀態
24,,分散
25,,遊牧
26,,定居
27,,條約
28,,和平時期
29,,禁用
30,,5 分鐘
31,,10 分鐘
32,,15 分鐘
33,,20 分鐘
34,,25 分鐘
35,,30 分鐘
36,,35 分鐘
37,,40 分鐘
38,,45 分鐘
39,,50 分鐘
40,,55 分鐘
41,,60 分鐘
42,,65 分鐘
43,,70 分鐘
44,,75 分鐘
45,,80 分鐘
46,,85 分鐘
47,,90 分鐘
48,,95 分鐘
49,,100 分鐘
50,,105 分鐘
51,,110 分鐘
52,,115 分鐘
53,,120 分鐘
54,,團隊勝利
55,,使整個團隊能夠贏得比賽
56,,自由對戰
57,,起始團隊
58,,動態團隊
59,,團結一致
60,,全體為一人，一人為全體
61,,獲勝設置
62,,征服首都
63,,摧毀首座城鎮中心來擊敗對手達成征服
64,,征服地標
65,,摧毀所有地標建築來擊敗對手達成征服
66,,征服城鎮中心
67,,摧毀所有額外城鎮中心來擊敗對手達成征服
68,,征服大型箭塔
69,,摧毀所有大型箭塔來擊敗對手達成征服
70,,征服世界奇觀
71,,摧毀所有世界奇觀來擊敗對手達成征服
72,,聖地勝利計時器
73,,維持所有聖地獲得勝利所需時間
74,,立即
75,,1 分鐘
76,,2 分鐘
77,,3 分鐘
78,,4 分鐘
79,,6 分鐘
80,,7 分鐘
81,,8 分鐘
82,,9 分鐘
83,,11 分鐘
84,,12 分鐘
85,,13 分鐘
86,,14 分鐘
87,,聖地恢復計時器
88,,計時器從重新佔領時中斷的時刻起繼續倒計時
89,,奇觀勝利計時器
90,,守衛奇觀獲得勝利所需時間
91,,守衛奇觀至最後一刻
92,,摧毀完工的奇觀將擊敗其所有者
93,,奇觀成本增益
94,,根據玩家數量調整奇觀成本，定義基於玩家每種資源的額外數量，奇觀起始價格為 3000 每種資源
95,,0 每個玩家
96,,250 每個玩家
97,,375 每個玩家
98,,500 每個玩家
99,,750 每個玩家
100,,1000 每個玩家
101,,1500 每個玩家
102,,2000 每個玩家
103,,遊戲設置
104,,貢品
105,,玩家能夠向盟友進貢資源
106,,外交
107,,玩家能夠建立自己的同盟
108,,團隊視野
109,,盟友之間共用視野
110,,無
111,,需要市場
112,,總是
113,,地圖視野
114,,地圖的起始視野
115,,隱藏
116,,已探索
117,,顯示
118,,起始時代
119,,所有玩家的起始時代
120,,黑暗時代
121,,封建時代
122,,城堡時代
123,,帝王時代
124,,後帝王時代
125,,結束時代
126,,所有玩家的最終時代
127,,科技時代
128,,所有玩家的起始科技研究完畢
129,,起始資源
130,,所有玩家的起始資源數量
131,,標準
132,,高
133,,非常高
134,,最大
135,,消滅時顯示
136,,為被消滅的玩家移除戰爭迷霧
137,,比賽設置
138,,顯示玩家分數
139,,固定的玩家資訊開啟時會顯示玩家分數
140,,分數顯示排名
141,,在分數模式排名中顯示當前名次，如果允許團隊獲勝，則只在比賽結束時評估團隊得分，分數勝利條件不會使用預設分數標準
142,,分數計時器
143,,計時結束後根據分數決定比賽勝負
144,,最小人口數量
145,,更改無房屋時的起始人口數量，不會超過最大人口數量
146,,最大人口數量
147,,更改最大人口數量，需要建造房屋方能達到最大值
148,,0
149,,25
150,,50
151,,75
152,,100
153,,125
154,,150
155,,175
156,,200
157,,225
158,,250
159,,275
160,,300
161,,350
162,,400
163,,450
164,,500
165,,550
166,,600
167,,650
168,,700
169,,750
170,,800
171,,850
172,,900
173,,950
174,,1000
175,,10000
176,,起始村民數量
177,,更改每個玩家的起始村民數量
178,,1
179,,2
180,,3
181,,4
182,,5
183,,6
184,,7
185,,8
186,,9
187,,10
188,,15
189,,20
190,,30
191,,35
192,,40
193,,45
194,,大型箭塔開局
195,,每個玩家開局擁有一座大型箭塔
196,,傳統設置
197,,國王開局
198,,每個玩家開局擁有一名國王
199,,鈴聲
200,,彩蛋
201,,早期市場
202,,允許在黑暗時代建造市場
203,,樹木爆破
204,,允許攻城武器和船隻摧毀樹木
205,,類比速度
